"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"11",1.2720125,0.563221,0.2377641,1.4660075,0.34086775,0.1706221,0.54955375,0.8076603,0.2510587,1.2456025,0.9086773,0.3875161,2.601725,0.7579981,0.1879116,2.66585,0.4989456,0.7145385,0.6571013,0.937367138706764,0.774887963103681,0.967357183366348,0.0572371907393179,0.570234418941444,0.247974882174618,0.570234418941444,0.410089986011118,0.832714157316818,34658.4251532488,0.000429332,65481090.2533626,1e-04,1,0.100790977478027,158.969048261642,"3_93_11",3,93,11,1391,FALSE,TRUE,3,0.115616365862665,3,FALSE
"12",1.2720125,0.4987055,0.2408046,1.10257,0.34867212,0.1706221,0.54955375,0.8076603,0.2510587,1.2456025,0.9086773,0.3875161,2.601725,0.6912146,0.1686201,2.6661225,0.5040626,0.7145385,0.6571013,0.937338957303762,0.774744960458421,0.968874383930715,0.0572500661125883,0.570415511177054,0.242143523657564,0.570415511177054,0.410427082848719,0.830279023203172,34658.4251532488,0.000429332,65481090.2533626,1e-04,1,0.110785007476807,162.358626127243,"3_95_11",3,95,11,1421,FALSE,TRUE,4,0.115716794722686,3,FALSE
"13",1.26537,0.4549534,0.2764206,0.6507545,0.32964927,0.1964731,0.56188,0.6027549,0.2187958,2.8508325,0.31841917,0.3946945,2.9782175,0.4755572,0.1957275,2.6340825,0.5169615,0.715026,0.6583892,0.941095208851459,0.763101804289824,0.977690545643777,0.0555076056354309,0.584971819929017,0.205002120856163,0.584971819929017,0.306499584075811,2.5076262959738,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,1,0.114682912826538,162.943416118622,"3_96_1",3,96,1,1426,FALSE,TRUE,5,0.0696167011016606,5,FALSE
"14",1.33398,0.9265119,0.01813794,2.75332,0.5103276,0.1410364,0.51935385,0.7898523,0.1977607,1.5646925,0.6197544,0.3306346,2.3787775,0.971811,0.2102577,2.443175,0.5526377,0.7138535,0.6475571,0.939708967761289,0.780644665438545,0.965045044897831,0.0562111723953137,0.57322982069525,0.256453252674688,0.57322982069525,0.387820626117025,0.925977259074384,18581.7406005861,0.000183791,65481090.2533626,1e-04,1,0.11013388633728,163.270132064819,"3_96_4",3,96,4,1429,FALSE,TRUE,7,0.105886845201255,5,FALSE
"15",1.27887,0.6243415,0.0909189,2.4689175,0.4496054,0.1965814,0.51100845,0.9352927,0.3063607,1.62429,0.8189478,0.3700516,2.2565525,0.6847578,0.2063748,2.443175,0.5526377,0.7138535,0.6535256,0.93990740052499,0.776714091426597,0.975052757177832,0.0561185936919062,0.578342799563149,0.216653203249559,0.578342799563149,0.322144566215681,0.909704281250408,18581.7406005861,0.000183791,65481090.2533626,1e-04,1,0.100564956665039,166.655136108398,"3_98_4",3,98,4,1459,FALSE,TRUE,5,0.0765849162242278,5,FALSE
"16",1.260415,0.5020396,0.2414799,0.6006225,0.35767475,0.2035225,0.52117505,0.4968953,0.265936,2.58459,0.4739304,0.3966226,2.9680375,0.3478135,0.2058453,2.52669,0.5913022,0.7149965,0.6565337,0.940379767157403,0.765891985922069,0.978682874994083,0.0558436784507755,0.581516723801141,0.200390992304809,0.581516723801141,0.262269284028962,26.735808616607,14357.4540905178,0.000119273,65481090.2533626,1e-04,1,0.115875959396362,167.333255052567,"3_98_10",3,98,10,1465,FALSE,TRUE,2,0.0505521503287689,5,FALSE
"17",1.26537,0.31230089,0.2915898,0.61302525,0.31748964,0.2851039,0.5323375,0.8038894,0.2997109,1.870335,0.3366331,0.3946945,2.9782175,0.4755572,0.1957275,2.6340825,0.5169615,0.715026,0.6583892,0.94125636244056,0.763323032502042,0.977822924745241,0.055431623900721,0.584698617136835,0.204392998516278,0.584698617136835,0.265269611562766,13.2731490455457,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,1,0.103399991989136,169.725976228714,"3_100_1",3,100,1,1486,FALSE,TRUE,4,0.05152025942173,5,FALSE
"18",1.27887,0.6243415,0.0909189,2.3783625,0.4828281,0.1782895,0.51896295,0.7898523,0.1977607,1.5646925,0.8759866,0.3686884,2.9689275,0.8827269,0.1849185,2.7742925,0.4621809,0.7138535,0.6535256,0.940126717181162,0.781432849367913,0.95918573211245,0.0560160936113059,0.572199033995366,0.27711487770309,0.572199033995366,0.396163859034492,0.909095550072365,18581.7406005861,0.000183791,65481090.2533626,1e-04,1,0.102695941925049,170.063055038452,"3_100_4",3,100,4,1489,FALSE,TRUE,7,0.109807662839921,5,FALSE
"19",1.22956,0.395648,0.2431536,0.896795,0.5518208,0.3612271,0.67773075,0.5335179,0.1733143,0.7802725,0.9869793,0.3960688,2.795925,0.8920201,0.1639578,2.983505,0.4018451,0.717064,0.653078,0.938821946868996,0.783567959732196,0.959812782459436,0.0566231609480707,0.569397363289766,0.274977909728116,0.569397363289766,0.452884759456369,39.829328046203,21957.084197211,0.000235343,65481090.2533626,1e-04,1,0.110244035720825,172.20309305191,"3_101_8",3,101,8,1508,FALSE,TRUE,4,0.135145678154801,3,FALSE
"20",1.26653,0.3981967,0.2392866,0.9905075,0.34867212,0.1706221,0.54955375,0.8076603,0.2510587,1.2456025,0.9086773,0.3875161,2.601725,0.7579981,0.1879116,2.66585,0.4989456,0.7145385,0.6571013,0.937392479307492,0.775689391904266,0.967578856793284,0.057225610783495,0.569218458698674,0.247131464103845,0.569218458698674,0.412318878160423,0.831525654096576,34658.4251532488,0.000429332,65481090.2533626,1e-04,1,0.112201929092407,172.537755250931,"3_101_11",3,101,11,1511,FALSE,TRUE,2,0.116591795995668,3,FALSE
"21",1.259335,0.3897463,0.2726361,0.79253,0.31019354,0.2365573,0.7787075,0.4048747,0.3787627,2.7297575,0.3366331,0.3946945,2.9782175,0.4755572,0.1957275,2.6340825,0.5169615,0.715026,0.6583892,0.941505266156228,0.759257844763077,0.978962296558265,0.0553140640780979,0.589698659785621,0.199073313073827,0.589698659785621,0.283847388801497,0.925105439811344,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,1,0.114611148834229,173.129104137421,"3_102_1",3,102,1,1516,FALSE,TRUE,7,0.0595866457694636,5,FALSE
"22",1.2706025,0.4524341,0.2783265,0.797165,0.31457778,0.2210104,0.8067675,0.3901194,0.3587143,1.662435,0.5841622,0.3927697,2.708445,0.6240545,0.2181177,2.63831,0.5116632,0.71353,0.6582128,0.936547965848409,0.774507363028638,0.970401051800309,0.0576102763511223,0.570716267021737,0.236130463278891,0.570716267021737,0.418830172186068,52.2620680755039,40351.0437454461,0.000516276,65481090.2533626,1e-04,1,0.105003118515015,173.585473060608,"3_102_5",3,102,5,1520,FALSE,TRUE,7,0.120182636833949,3,FALSE
"23",1.254555,0.4508745,0.2800347,1.687055,0.35780187,0.2097097,0.5919565,0.6180828,0.2559517,0.90925,0.5826278,0.3906022,2.9320925,0.5194668,0.1940268,2.6753375,0.4853369,0.715901,0.6557021,0.937152139187951,0.778883706576095,0.968725595058215,0.0573353454909985,0.570979337106744,0.229221699281832,0.570979337106744,0.410731305344507,0.830354015213545,32874.3093543578,0.000402083,65481090.2533626,1e-04,1,0.105036973953247,174.960110187531,"3_103_2",3,103,2,1532,FALSE,TRUE,5,0.115761314686459,3,FALSE
"24",1.2801,0.4735832,0.1273806,2.4001625,0.5525593,0.2546095,0.5538225,0.8345242,0.3105913,2.3538425,0.5394112,0.3306346,2.3787775,0.971811,0.2102577,2.443175,0.5526377,0.7138535,0.6535256,0.940306700193387,0.779235745446402,0.969382062467852,0.0559318362185022,0.575067802533838,0.240016889792047,0.575067802533838,0.343815076763844,0.90049301500558,18581.7406005861,0.000183791,65481090.2533626,1e-04,1,0.112324953079224,176.899870157242,"3_104_4",3,104,4,1549,FALSE,TRUE,4,0.0863350656442339,5,FALSE
"25",1.30112,0.750345,0.2966694,1.1532825,0.4245657,0.2465014,0.52673175,0.9721099,0.2684473,1.4713025,0.7386221,0.3842437,2.91026,0.4785434,0.2017188,2.3841625,0.621496,0.7035695,0.65723,0.937088096489555,0.77342722170995,0.973175075489693,0.057364550743475,0.57208153944667,0.224793181580717,0.57208153944667,0.387204072653542,0.824807082380546,35477.6426245588,0.000441844,65481090.2533626,1e-04,1,0.100919008255005,177.116255044937,"3_104_6",3,104,6,1551,FALSE,TRUE,5,0.105350018754548,3,FALSE
