"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","tv_S","ooh_S","print_S","facebook_S","search_S","cluster","top_sol"
"36","3_113_4",3.25615376193617,0.317479065879285,0.578135633605582,0.207643366978005,0.0563084545435548,0.407641434547786,0.604238956900623,0.389286962663942,0.343408826816847,0.424319635258971,5,FALSE
"37","3_114_1",0.801410894837717,0.476192685086558,0.567050462857201,0.32033816136028,0.0582676981648465,0.303182220504239,0.213542808245119,0.495876145999144,0.51681470812438,0.82130286598129,3,FALSE
"38","3_114_14",0.859462528295204,0.371514912489172,0.57474241547367,0.22495169647225,0.0567617233210129,0.496915004532276,0.485090917767011,0.251353384262092,0.28775758707668,0.617453137056403,2,FALSE
"39","3_114_15",0.826857641709263,0.373570635932078,0.575130882878788,0.221837056702222,0.0575633045072429,0.4609323273294,0.544844535671518,0.511217739929662,0.416972360454447,0.602467766451639,3,FALSE
"40","3_114_4",0.894998132220299,0.379636646463855,0.574395093559291,0.23210254258571,0.0559470618474954,0.432624393213445,0.317637731387676,0.329590152304729,0.210900442738806,0.472750799489711,5,FALSE
"41","3_115_4",3.49123321572552,0.364774505750077,0.577014456864809,0.217581602117866,0.0563942071610759,0.580628215257849,0.439470088101918,0.0779300530331343,0.394156851592096,0.439142230961915,2,FALSE
"42","3_116_1",0.819286447396447,0.379720851338694,0.572789281260201,0.248551001423206,0.057985021333914,0.288111401346011,0.5404146938332,0.227626927118719,0.427223973004251,0.754562560653242,2,FALSE
"43","3_116_15",0.777523040034322,0.407064047805139,0.570451731043781,0.272955794503634,0.0586314723260237,0.627994796333529,0.657467268698786,0.528084027249824,0.736373084114538,0.769019314388797,1,FALSE
"44","3_116_4",35.2822445985127,0.300335068099009,0.57098862338132,0.229620028204313,0.056545913822884,0.445480213558769,0.740259704337433,0.20762552727261,0.312383198744305,0.535071712755022,2,FALSE
"45","3_116_5",16.59488121992,0.376804643391165,0.572357429307066,0.2177262734809,0.0561699155846856,0.43176157481541,0.343357799841248,0.297214538442918,0.31971451503497,0.460655489839912,5,FALSE
"46","3_117_11",0.83672382432856,0.376233838406713,0.570788016497111,0.246073671656071,0.0568260139488092,0.616704094786792,0.556255306972155,0.243259947779665,0.467931890880486,0.604553549189633,2,FALSE
"47","3_118_14",0.988657562160044,0.254655356486317,0.588658628269725,0.205882830230345,0.0547386947005362,0.594157272411151,0.762526730901172,0.238032132222935,0,0,4,TRUE
"48","3_118_4",42.9863976321837,0.307433165131248,0.577212398151943,0.220623068701458,0.0560613787354852,0.857005227910634,0.868826451809478,0.235936026383796,0.191664199858308,0.473451656389134,4,FALSE
"49","3_119_11",0.958392681166577,0.270316806110617,0.58617028857854,0.203008420079847,0.0545433519173612,0.461322649357285,0.632397912687502,0.256656796983492,0.06593459169507,0.299865789059484,5,FALSE
"50","3_119_12",0.856471645305049,0.270952902314139,0.582986991178472,0.209015370071451,0.0568021264624944,0.32669492170665,0.687300159576082,0.1657352854423,0.26841846128077,0.42729836960667,5,FALSE
"51","3_120_4",9.49125488510217,0.281859447948495,0.576734855410162,0.214076473894932,0.0567233883836425,0.550709624656148,0.840037454512787,0.133904334391956,0.304707183338382,0.494455069602526,2,TRUE
"52","3_120_6",0.738285223416048,0.454869276093462,0.569474195770315,0.281551699714682,0.0594427250090191,0.380710309453053,0.415407612791941,0.749806238492731,0.674493125740057,0.83821843685905,1,FALSE
"53","3_121_11",0.849102213670811,0.339448127971825,0.570268641439112,0.25773021251683,0.056501448817912,0.433461129030275,0.621720045127274,0.167450641062005,0.453841790145701,0.571916810096916,2,FALSE
"54","3_121_12",0.867531045668305,0.258053335917028,0.584760374038402,0.211349035858313,0.0566451581840974,0.336420754600153,0.646949910722766,0.146030853261549,0.261082768119588,0.317988783853722,5,FALSE
"55","3_121_15",0.839754443645252,0.348857436527023,0.577779895873599,0.226555550213718,0.0568276976822208,0.441966509283769,0.567888242382881,0.184678211985353,0.349584086176875,0.605517712638711,2,FALSE
"56","3_121_4",58.2524542436506,0.34373376324893,0.574653709342824,0.219840089863043,0.0563313297735027,0.529935012958153,0.546089388583816,0.340989142841319,0.321406549932963,0.46435662849346,2,FALSE
"57","3_121_8",0.867423757644535,0.320809853647516,0.580307066594466,0.23235443671374,0.0569783646521067,0.631342643110031,0.815548010915007,0.466045977277435,0.27652869950756,0.577565343008332,2,FALSE
"58","3_122_15",0.784789673707045,0.409393469998396,0.571533823824864,0.274607920104693,0.057985778540648,0.634290646890524,0.563483947402301,0.219784429434582,0.737982975926193,0.70897893787912,2,FALSE
"59","3_122_9",0.80546888137325,0.373002960890707,0.576600148719267,0.223554856268131,0.058010994731529,0.519217800763586,0.599503906314599,0.334015618352033,0.497154648291214,0.655151121972105,2,FALSE
"60","3_123_12",0.850598390338389,0.255769477616476,0.584728600295814,0.210878459493949,0.0575907057386153,0.325706848235813,0.764874020531897,0.0965911348392377,0.278852385099545,0.442437516693999,5,FALSE
"61","3_123_13",0.963158047936924,0.188516383521013,0.586598756149127,0.201729457563466,0.0554164290575282,0.147909045713946,0.744284286800887,0.172608878904055,0.0151163148874879,0.324350317075291,5,FALSE
"62","3_123_2",0.832126706581249,0.418248698555511,0.571119896707099,0.240022821011128,0.0571756922534075,0.632190429415921,0.406229232024136,0.463866463299257,0.506868867521912,0.603866974205826,3,FALSE
"63","3_123_4",42.6076247284852,0.38064790911487,0.573421088641825,0.222797219584676,0.0558317777474227,0.811083225244245,0.494480527838312,0.241613546632069,0.319102510831216,0.451420294953034,4,FALSE
"64","3_123_5",0.786405332003983,0.414161300923644,0.57123451185567,0.244055993923073,0.058419882610275,0.531162348746599,0.526464814756376,0.53175713099087,0.628970480862595,0.728329092681529,3,FALSE
"65","3_123_8",0.86301450158426,0.321666181274428,0.580367062434332,0.231862275633356,0.0569745356777615,0.629702868069211,0.814146246265479,0.461658149426493,0.29663173592922,0.575947277084878,2,FALSE
