"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1249","(Intercept)",567276.667258701,89062436.759616,0.30799163737611,567276.667258701,0.278183438387336,89062436.759616,0.30799163737611,567276.667258701,0.278183438387336,TRUE,0.6550904,0.934440822248737,0.778214170708531,0.956493089575662,0.0585590378997691,0.57184314091033,0.270358682882307,0.57184314091033,0.407975327967261,0.777282501080948,56278.577291104,0.000759539,65481090.2533626,1e-04,"3_130_15",3,130,15,1950,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,NA
"1250","trend",0.0452651360119628,12665480.6113826,0.0437991846347492,80671.8510279144,0.0395601902832749,12665480.6113826,0.0437991846347492,80671.8510279144,0.0395601902832749,TRUE,0.6550904,0.934440822248737,0.778214170708531,0.956493089575662,0.0585590378997691,0.57184314091033,0.270358682882307,0.57184314091033,0.407975327967261,0.777282501080948,56278.577291104,0.000759539,65481090.2533626,1e-04,"3_130_15",3,130,15,1950,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,NA
"1251","season",0.294202539625202,107704.218633559,0.000372457793163656,686.01413142394,0.000336410398798906,107704.218633559,0.000372457793163656,686.01413142394,0.000336410398798906,TRUE,0.6550904,0.934440822248737,0.778214170708531,0.956493089575662,0.0585590378997691,0.57184314091033,0.270358682882307,0.57184314091033,0.407975327967261,0.777282501080948,56278.577291104,0.000759539,65481090.2533626,1e-04,"3_130_15",3,130,15,1950,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,NA
"1252","holiday",0.843232397650585,5868487.61157216,0.0202941349256804,234739.504462886,0.115112512545921,5868487.61157216,0.0202941349256804,234739.504462886,0.115112512545921,TRUE,0.6550904,0.934440822248737,0.778214170708531,0.956493089575662,0.0585590378997691,0.57184314091033,0.270358682882307,0.57184314091033,0.407975327967261,0.777282501080948,56278.577291104,0.000759539,65481090.2533626,1e-04,"3_130_15",3,130,15,1950,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,NA
"1253","competitor_sales_B",0.163672854797929,142597835.374811,0.493125299523484,908266.467355483,0.4453994028731,142597835.374811,0.493125299523484,908266.467355483,0.4453994028731,TRUE,0.6550904,0.934440822248737,0.778214170708531,0.956493089575662,0.0585590378997691,0.57184314091033,0.270358682882307,0.57184314091033,0.407975327967261,0.777282501080948,56278.577291104,0.000759539,65481090.2533626,1e-04,"3_130_15",3,130,15,1950,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,NA
"1254","events",0,0,0,0,0,0,0,0,0,TRUE,0.6550904,0.934440822248737,0.778214170708531,0.956493089575662,0.0585590378997691,0.57184314091033,0.270358682882307,0.57184314091033,0.407975327967261,0.777282501080948,56278.577291104,0.000759539,65481090.2533626,1e-04,"3_130_15",3,130,15,1950,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,NA
"1255","tv_S",296370.647958695,10562625.6587398,0.0365271880041498,67277.8704378333,0.0329919956274866,10562625.6587398,0.0365271880041498,67277.8704378333,0.0329919956274866,TRUE,0.6550904,0.934440822248737,0.778214170708531,0.956493089575662,0.0585590378997691,0.57184314091033,0.270358682882307,0.57184314091033,0.407975327967261,0.777282501080948,56278.577291104,0.000759539,65481090.2533626,1e-04,"3_130_15",3,130,15,1950,5,7774236.44,49517.4295541401,104958.701596222,55441.2720420819,19114.1465747528,0.206047362680601,0.271744722423217,0.386008456958661,1.35867049327096,0.736013628729459,1,TRUE,1.23548351122741,0.0329679482764097,0.976737022496084,1.49471764814765,0.598362824005446
"1256","ooh_S",313211.912979888,11420385.3168094,0.0394934531455029,72741.3077503782,0.0356711782287415,11420385.3168094,0.0394934531455029,72741.3077503782,0.0356711782287415,TRUE,0.6550904,0.934440822248737,0.778214170708531,0.956493089575662,0.0585590378997691,0.57184314091033,0.270358682882307,0.57184314091033,0.407975327967261,0.777282501080948,56278.577291104,0.000759539,65481090.2533626,1e-04,"3_130_15",3,130,15,1950,5,24719081.6,157446.379617834,163138.244650352,5691.86503251726,70901.0617816208,0.655151359349006,0.293812309377326,0.450318781249319,0.462006861808708,2.16447001692812,1,TRUE,0.359936577020678,0.0212361993573123,0.191553107284198,0.525208685039181,0.646989480952581
"1257","print_S",179420.415603523,4174253.00229224,0.0144352104408295,26587.5987407149,0.0130381347639351,4174253.00229224,0.0144352104408295,26587.5987407149,0.0130381347639351,TRUE,0.6550904,0.934440822248737,0.778214170708531,0.956493089575662,0.0585590378997691,0.57184314091033,0.270358682882307,0.57184314091033,0.407975327967261,0.777282501080948,56278.577291104,0.000759539,65481090.2533626,1e-04,"3_130_15",3,130,15,1950,5,1804904.93333333,11496.2097664544,18181.2255706547,6685.01580420033,27312.415240795,0.0478369682055284,0.107391027579739,2.37577565090122,2.31272734934751,0.432389922781919,1,TRUE,2.61141314964261,0.120950941191829,1.66596980424181,3.56630778300885,0.432313750607805
"1258","facebook_S",133631.879912752,5288212.59767864,0.0182874544646474,33682.882787762,0.0165175490012251,5288212.59767864,0.0182874544646474,33682.882787762,0.0165175490012251,TRUE,0.6550904,0.934440822248737,0.778214170708531,0.956493089575662,0.0585590378997691,0.57184314091033,0.270358682882307,0.57184314091033,0.407975327967261,0.777282501080948,56278.577291104,0.000759539,65481090.2533626,1e-04,"3_130_15",3,130,15,1950,5,1002234.0659765,6383.65647118789,6814.99745141766,431.340980229768,30438.1139354675,0.0265630827769259,0.136049871584921,4.76813156736228,5.27642471674141,0.189522271932949,1,TRUE,5.59479608862119,0.222894828128856,3.84852834359186,7.35057225486846,0.328383729599362
